week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
15,615.0,265.0,0.0,34026.4,6278.8,215.0,68.66666666666667,22.285714285714285
2,0.0,61.0,0.0,0.0,0.0,0.0,77.0,21.714285714285715
12,0.0,0.0,0.0,4709.200000000001,0.0,0.0,73.33333333333333,10.333333333333334
8,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0
25,0.0,0.0,0.0,0.0,0.0,0.0,59.714285714285715,27.571428571428573
13,266.0,167.0,0.0,13768.1,458.1,20.0,51.0,40.0
23,313.0,176.0,0.0,16126.1,3364.7,190.0,81.85714285714286,27.571428571428573
1,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0
9,577.0,109.0,0.0,23289.4,2503.0,94.0,60.57142857142857,53.285714285714285
24,250.0,120.0,0.0,20569.0,613.1,45.0,50.2,34.8
5,391.0,109.0,0.0,13870.2,560.5,9.0,43.8,42.714285714285715
27,0.0,238.0,0.0,19362.7,50.7,4.0,52.666666666666664,19.0
1,0.0,0.0,0.0,0.0,0.0,0.0,67.5,56.5
9,0.0,0.0,0.0,0.0,0.0,0.0,60.666666666666664,50.714285714285715
10,0.0,0.0,0.0,0.0,0.0,0.0,52.6,52.4
1,0.0,0.0,0.0,0.0,0.0,0.0,58.75,53.0
13,0.0,0.0,0.0,0.0,0.0,0.0,74.66666666666667,15.5
14,307.0,0.0,0.0,11555.1,1050.2,33.0,58.0,15.0
15,658.0,141.0,0.0,28921.699999999997,3309.9,86.0,52.333333333333336,43.42857142857143
46,544.0,0.0,561.0,76454.0,0.0,291.0,53.0,39.2
30,285.0,137.0,208.0,20434.5,3425.0,100.0,82.5,22.0
13,207.0,212.0,0.0,28812.6,4641.7,115.0,69.0,36.0
16,0.0,0.0,0.0,0.0,0.0,0.0,64.6,38.142857142857146
12,392.0,118.0,206.0,29149.1,3218.0,92.0,42.714285714285715,49.0
23,312.0,0.0,0.0,17849.6,97.0,14.0,45.5,40.25
15,331.0,162.0,0.0,12422.5,79.1,16.0,50.6,47.6
45,205.0,0.0,155.0,34966.0,0.0,93.0,74.0,19.666666666666668
13,0.0,0.0,0.0,0.0,0.0,0.0,43.5,44.5
16,0.0,0.0,0.0,0.0,0.0,0.0,86.0,10.0
0,0.0,0.0,0.0,0.0,0.0,0.0,49.857142857142854,36.285714285714285
18,128.0,114.0,0.0,4182.9,197.2,15.0,51.42857142857143,58.0
16,0.0,0.0,0.0,3374.8,0.0,0.0,47.0,48.0
25,311.0,119.0,0.0,24805.8,2022.9,150.0,70.66666666666667,0.0
22,0.0,24.0,0.0,3229.9,0.0,0.0,52.5,38.5
0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,5.666666666666667
42,405.0,171.0,0.0,29820.0,0.0,123.0,32.0,43.0
5,492.0,0.0,0.0,14143.5,1125.5,53.0,72.33333333333333,42.0
45,359.0,0.0,481.0,55706.0,0.0,228.0,82.66666666666667,29.666666666666668
15,0.0,16.0,0.0,0.0,0.0,0.0,79.28571428571429,2.4285714285714284
1,302.0,0.0,0.0,9781.2,2978.2,38.0,58.5,48.75
2,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,3.6666666666666665
3,0.0,53.0,0.0,0.0,0.0,0.0,80.28571428571429,22.142857142857142
3,0.0,0.0,0.0,0.0,0.0,0.0,79.8,25.285714285714285
16,0.0,0.0,0.0,0.0,0.0,0.0,58.8,41.4
8,0.0,0.0,0.0,0.0,0.0,0.0,82.33333333333333,8.4
18,0.0,0.0,0.0,0.0,0.0,0.0,47.5,38.5
5,0.0,0.0,0.0,0.0,0.0,0.0,83.0,16.0
1,0.0,0.0,0.0,0.0,0.0,0.0,81.42857142857143,12.285714285714286
8,0.0,0.0,0.0,0.0,0.0,0.0,42.2,40.666666666666664
17,0.0,0.0,0.0,0.0,0.0,0.0,82.0,77.0
29,0.0,41.0,0.0,0.0,0.0,0.0,53.0,28.666666666666668
24,380.0,0.0,0.0,13447.6,299.8,46.0,42.833333333333336,45.333333333333336
0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,48.5
10,0.0,0.0,0.0,0.0,0.0,0.0,83.4,21.142857142857142
14,279.0,136.0,0.0,8785.9,79.5,10.0,68.75,36.75
7,181.0,216.0,0.0,21113.8,3089.9,84.0,72.0,12.0
0,0.0,0.0,0.0,0.0,0.0,0.0,86.85714285714286,22.428571428571427
23,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.5
5,455.0,110.0,0.0,16545.8,509.0,20.0,65.28571428571429,36.57142857142857
7,0.0,0.0,0.0,0.0,0.0,0.0,44.6,24.6
19,0.0,81.0,0.0,25072.699999999997,0.0,0.0,75.0,4.428571428571429
15,0.0,0.0,0.0,0.0,0.0,0.0,70.4,18.4
8,0.0,0.0,0.0,0.0,0.0,0.0,61.0,41.0
15,0.0,0.0,0.0,0.0,0.0,0.0,48.25,46.25
13,366.0,138.0,0.0,16841.1,2828.2,46.0,51.333333333333336,42.42857142857143
